01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2017,Portugal,,Básico - 3º ciclo,,,,,79027.1
2017,Portugal,,Nenhum,,,,,26006.7
2017,Portugal,,Secundário,,,,,103445.0
2017,Portugal,,Superior,,,,,57691.9
2017,Portugal,,Total,,,,,407132.1
2018,Portugal,,Básico - 1º ciclo,,,,,62003.6
2018,Portugal,,Básico - 2º ciclo,,,,,48700.6
2018,Portugal,,Básico - 3º ciclo,,,,,64692.9
2018,Portugal,,Nenhum,,,,,23183.3
2018,Portugal,,Secundário,,,,,86671.8
2018,Portugal,,Superior,,,,,47457.0
2018,Portugal,,Total,,,,,332709.2
2019,Portugal,,Básico - 1º ciclo,,,,,50579.3
2019,Portugal,,Básico - 2º ciclo,,,,,41682.7
2019,Portugal,,Básico - 3º ciclo,,,,,56860.7
2019,Portugal,,Nenhum,,,,,21218.8
2019,Portugal,,Secundário,,,,,79061.6
2019,Portugal,,Superior,,,,,42092.8
2019,Portugal,,Total,,,,,291495.8
2020,Portugal,,Básico - 1º ciclo,,,,,51597.0
2020,Portugal,,Básico - 2º ciclo,,,,,50101.8
2020,Portugal,,Básico - 3º ciclo,,,,,73127.0
2020,Portugal,,Nenhum,,,,,24250.2
2020,Portugal,,Secundário,,,,,111619.7
2020,Portugal,,Superior,,,,,49344.9
2020,Portugal,,Total,,,,,360040.5
2021,Portugal,,Básico - 1º ciclo,,,,,49660.3
2021,Portugal,,Básico - 2º ciclo,,,,,49149.8
2021,Portugal,,Básico - 3º ciclo,,,,,71638.8
2021,Portugal,,Nenhum,,,,,28838.9
2021,Portugal,,Secundário,,,,,111694.1
2021,Portugal,,Superior,,,,,50435.7
2021,Portugal,,Total,,,,,361417.4
2022,Portugal,,Básico - 1º ciclo,,,,,40092.4
2022,Portugal,,Básico - 2º ciclo,,,,,38638.0
2022,Portugal,,Básico - 3º ciclo,,,,,53683.0
2022,Portugal,,Nenhum,,,,,27398.8
2022,Portugal,,Secundário,,,,,87963.1
2022,Portugal,,Superior,,,,,39615.6
2022,Portugal,,Total,,,,,287390.8
2023,Portugal,,Básico - 1º ciclo,,,,,36676.9
2023,Portugal,,Básico - 2º ciclo,,,,,37919.7
2023,Portugal,,Básico - 3º ciclo,,,,,53723.4
2023,Portugal,,Nenhum,,,,,26765.4
2023,Portugal,,Secundário,,,,,95811.1
2023,Portugal,,Superior,,,,,37007.9
2023,Portugal,,Total,,,,,287904.4
2024,Portugal,,Básico - 1º ciclo,,,,,35372.9
2024,Portugal,,Básico - 2º ciclo,,,,,39376.4
2024,Portugal,,Básico - 3º ciclo,,,,,56397.4
2024,Portugal,,Nenhum,,,,,26566.9
2024,Portugal,,Secundário,,,,,110717.5
2024,Portugal,,Superior,,,,,38657.7
2024,Portugal,,Total,,,,,307087.1
2009,Abrantes,Município,Básico - 1º ciclo,,,,,541.9
2009,Abrantes,Município,Básico - 2º ciclo,,,,,421.0
2009,Abrantes,Município,Básico - 3º ciclo,,,,,513.3
2009,Abrantes,Município,Nenhum,,,,,122.2
2009,Abrantes,Município,Secundário,,,,,380.3
2009,Abrantes,Município,Superior,,,,,185.4
2009,Abrantes,Município,Total,,,,,2164.1
2009,Águeda,Município,Básico - 1º ciclo,,,,,591.8
2009,Águeda,Município,Básico - 2º ciclo,,,,,468.6
2009,Águeda,Município,Básico - 3º ciclo,,,,,363.7
